Location,placeID,Camera,Latitude,Longitude,Start date,End Date,Nights.active,Excluded?,Notes
Crane Park,1,IOZ20_17,51.441545,-0.365256,08/01/2022,17/08/2022,16,,
Crane Park,2,LHW22_59,51.441449,-0.362811,08/01/2022,17/08/2022,16,,
Crane Park,3,WILD0021+51,51.441624,-0.361597,08/01/2022,17/08/2022,16,,
Crane Park,4,WILD0023+53,51.442207,-0.359119,08/01/2022,17/08/2022,16,,
Crane Park,5,WILD0022+52,51.443504,-0.37585,08/02/2022,18/08/2022,16,,
Crane Park,6,LHW20_65,51.443118,-0.374376,08/01/2022,17/08/2022,16,,
Crane Park,7,WILD0024+54,51.442784,-0.369648,,,0,Yes,no data
Crane Park,8,WILD0028+58,51.44327,-0.357195,08/03/2022,08/11/2022,8,,
Crane Park,9,LHW20_43,51.444429,-0.378351,08/01/2022,17/08/2022,16,,
Crane Park,10,IOZ20_17,51.446046,-0.382626,08/01/2022,17/08/2022,16,,
Crane Park,11,WILD0020+50,51.444892,-0.354294,08/01/2022,17/08/2022,16,,
Crane Park,12,LHW20_36,51.444409,-0.355213,08/01/2022,17/08/2022,16,,
Crane Park Island,13,IOZ20_14,51.4440012,-0.379305,08/01/2022,17/08/2022,16,,
Crane Park Island,14,IOZ20_03,51.4439287,-0.3791585,08/01/2022,17/08/2022,16,,
Crane Park Island,15,LHW2055,51.443446,-0.378797,08/01/2022,17/08/2022,16,,
Crane Park Island,16,LHW2011,51.443522,-0.378762,08/01/2022,08/03/2022,2,,
Crane Park Island,17,LHW2050,51.4435053,-0.3784883,08/01/2022,17/08/2022,16,,
Crane Park Island,18,IOZ2005,51.4435036,-0.3784896,08/01/2022,17/08/2022,16,,
Crane Park Island,19,WILD0019+49,51.4434537,-0.3784153,,,0,Yes,no data
Crane Park Island,20,LHW2037,51.4436198,-0.3786855,08/01/2022,17/08/2022,16,,
Crane Park Island,21,WILD0025+55,51.443479,-0.378991,08/01/2022,17/08/2022,16,,
Crane Park Island,22,WILD0027+57,51.443207,-0.378986,08/04/2022,17/08/2022,13,,
