Location,placeID,Start date,End date,Nights.active,Latitude,Longitude,Excluded?,Notes
Beveree Wildlife Site,1,24/10/2022,08/11/2022,15,51.415246,-0.364325,,
Beveree Wildlife Site,2,24/10/2022,08/11/2022,15,51.415886,-0.366439,,
Beveree Wildlife Site,3,24/10/2022,08/11/2022,15,51.415921,-0.364493,,
Beveree Wildlife Site,5,24/10/2022,08/11/2022,15,51.415965,-0.362942,,
Broom Road Recreation Ground,6,24/10/2022,08/11/2022,15,51.421084,-0.309778,,
Broom Road Recreation Ground,7,24/10/2022,08/11/2022,15,51.421838,-0.307432,,
Broom Road Recreation Ground,8,24/10/2022,08/11/2022,15,51.422789,-0.308201,,
Oldfield Road,24,08/11/2022,23/11/2022,15,51.414245,-0.3808566,,
Oldfield Road,25,08/11/2022,23/11/2022,15,51.414247,-0.3799413,,
Oldfield Road,30,,,,51.414078,-0.379537,Yes,no data
